origin_city_name,dest_city_name,n,distance_km,duration_min,duration_mean,duration_max,price_mean
"Paris, Île-de-France, France","Biarritz, Nouvelle-Aquitaine, France",50,668.0111622606313,4.683333333333334,11.734000000000002,34.916666666666664,68.332
"Amiens, Hauts-de-France, France","Lille, Hauts-de-France, France",49,99.35269254531319,1.1666666666666667,2.6268707482993197,18.683333333333334,16.648979591836735
"Bruxelles, Bruxelles-Capitale, Belgique","Tourcoing, Hauts-de-France, France",49,83.20429724348844,1.0666666666666667,6.708843537414967,22.75,29.09591836734694
"Bruxelles, Bruxelles-Capitale, Belgique","Toulouse, Occitanie, France",49,831.7831849193796,7.666666666666667,15.652040816326531,39.25,74.51020408163265
"Pau, Nouvelle-Aquitaine, France","Bayonne, Nouvelle-Aquitaine, France",48,91.9854053648709,1.0,1.6711805555555557,3.933333333333333,11.69375
"Paris, Île-de-France, France","Le Havre, Normandie, France",48,178.29822556537164,1.8333333333333333,4.113888888888889,19.166666666666668,16.508333333333333
"Toulouse, Occitanie, France","Limoges, Nouvelle-Aquitaine, France",48,247.59610724907375,2.8333333333333335,4.121527777777778,15.166666666666666,21.260416666666668
"Valence, Auvergne-Rhône-Alpes, France","Lille, Hauts-de-France, France",48,649.4014389783136,3.8333333333333335,8.149305555555555,32.666666666666664,81.6875
"Pauillac, Nouvelle-Aquitaine, France","Massy, Île-de-France, France",47,454.54477672018265,4.183333333333334,6.9244680851063825,19.083333333333332,49.787234042553195
"Rouen, Normandie, France","Strasbourg, Grand-Est, France",47,494.6988783268095,4.1,7.665957446808511,20.016666666666666,78.96382978723405
"Paris, Île-de-France, France","Cannes, Provence-Alpes-Côte d'Azur, France",47,689.6761812160703,6.15,16.29468085106383,33.083333333333336,79.31702127659575
"Paris, Île-de-France, France","Berlin, Berlin, Deutschland",47,877.977203502708,11.666666666666666,22.572695035460995,52.583333333333336,55.240425531914894
"Paris, Île-de-France, France","Poitiers, Nouvelle-Aquitaine, France",46,293.58206408710305,3.1666666666666665,4.731884057971015,17.083333333333332,25.06086956521739
"Paris, Île-de-France, France","Genève, Genève, Schweiz",46,408.9163145238651,4.5,6.291666666666667,11.25,46.77608695652174
"Le Mans, Pays-de-la-Loire, France","Arras, Hauts-de-France, France",46,315.7240902156092,2.783333333333333,7.302898550724637,27.333333333333332,48.86086956521739
"Clermont-Ferrand, Auvergne-Rhône-Alpes, France","Aix-en-provence, Provence-Alpes-Côte d'Azur, France",46,312.0563252133996,4.066666666666666,9.022463768115943,22.85,60.36739130434783
"Paris, Île-de-France, France","Niort, Nouvelle-Aquitaine, France",46,353.6403971186453,2.5166666666666666,10.107971014492755,28.916666666666668,44.391304347826086
"Paris, Île-de-France, France","Montauban, Occitanie, France",46,546.7686847714975,6.166666666666667,10.996739130434783,30.45,47.01521739130435
"Châteauroux, Centre-Val de Loire, France","Paris, Île-de-France, France",45,231.81605193273077,2.5,4.891481481481482,22.666666666666668,30.479999999999997
"Paris, Île-de-France, France","Albias, Occitanie, France",45,533.5216069511456,6.166666666666667,7.348148148148149,14.166666666666666,47.922222222222224
"Bruxelles, Bruxelles-Capitale, Belgique","Lyon, Auvergne-Rhône-Alpes, France",45,565.0878821933926,3.5833333333333335,8.685925925925925,32.666666666666664,97.82
"Strasbourg, Grand-Est, France","Rouen, Normandie, France",45,494.6988783268095,4.15,10.76962962962963,31.583333333333332,63.01333333333333
"Cannes, Provence-Alpes-Côte d'Azur, France","Aix-en-provence, Provence-Alpes-Côte d'Azur, France",44,126.43750769128725,1.5,4.28219696969697,22.466666666666665,26.61590909090909
"Lille, Hauts-de-France, France","Marseille, Provence-Alpes-Côte d'Azur, France",44,834.6495561903025,5.233333333333333,13.51969696969697,38.25,67.72727272727273
